start_node,end_node,pts,length,mean_width,median_width,mean_depth,median_depth,mean_r2,median_r2,considered_trans,water_filled
1,0,"[[582239.0, 7700778.0], [582239.0, 7700777.0], [582239.0, 7700776.0], [582239.0, 7700775.0], [582239.0, 7700774.0], [582240.0, 7700773.0], [582241.0, 7700772.0], [582240.0, 7700771.0], [582240.0, 7700770.0], [582240.0, 7700769.0], [582240.0, 7700768.0], [582240.0, 7700767.0], [582239.0, 7700766.0], [582239.0, 7700765.0], [582239.0, 7700764.0]]",15.656854249492381
2,53,"[[582240.0, 7701418.0], [582240.0, 7701419.0], [582240.0, 7701420.0], [582240.0, 7701421.0], [582240.0, 7701422.0], [582241.0, 7701423.0], [582242.0, 7701424.0], [582243.0, 7701424.0], [582244.0, 7701424.0], [582245.0, 7701424.0], [582246.0, 7701424.0], [582247.0, 7701423.0], [582248.0, 7701422.0], [582249.0, 7701421.0], [582250.0, 7701421.0], [582251.0, 7701421.0], [582252.0, 7701422.0], [582253.0, 7701423.0], [582254.0, 7701423.0], [582255.0, 7701422.0]]",22.31370849898476,14.003924120380749,14.003924120380749,0.5743304702451483,0.5743304702451483,0.9207610187090232,0.9207610187090232,0.17,0.0
53,62,"[[582255.0, 7701422.0], [582256.0, 7701423.0], [582257.0, 7701424.0]]",2.8284271247461903,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0
3,21,"[[582240.0, 7701151.0], [582241.0, 7701152.0], [582242.0, 7701153.0], [582243.0, 7701153.0], [582244.0, 7701154.0], [582245.0, 7701155.0], [582246.0, 7701156.0]]",8.071067811865476,8.362749307800478,8.362749307800478,0.20947947184204294,0.20947947184204294,0.9577297036043307,0.9577297036043307,0.33,0.0
21,20,"[[582246.0, 7701178.0], [582246.0, 7701177.0], [582246.0, 7701176.0], [582245.0, 7701175.0], [582245.0, 7701174.0], [582246.0, 7701173.0], [582246.0, 7701172.0], [582246.0, 7701171.0], [582246.0, 7701170.0], [582246.0, 7701169.0], [582246.0, 7701168.0], [582246.0, 7701167.0], [582246.0, 7701166.0], [582246.0, 7701165.0], [582246.0, 7701164.0], [582246.0, 7701163.0], [582246.0, 7701162.0], [582246.0, 7701161.0], [582246.0, 7701160.0], [582246.0, 7701159.0], [582246.0, 7701158.0], [582246.0, 7701157.0]]",21.82842712474619,8.346717063018621,7.618472090734568,0.18941130560854913,0.18225425155197034,0.9373455569893995,0.9425736323617393,0.7,0.0
21,72,"[[582247.0, 7701156.0], [582248.0, 7701156.0], [582249.0, 7701156.0], [582250.0, 7701157.0], [582251.0, 7701157.0], [582252.0, 7701157.0], [582253.0, 7701157.0], [582254.0, 7701157.0], [582255.0, 7701157.0], [582256.0, 7701157.0], [582257.0, 7701156.0], [582258.0, 7701156.0], [582259.0, 7701157.0], [582260.0, 7701157.0], [582261.0, 7701157.0], [582262.0, 7701158.0], [582263.0, 7701159.0], [582264.0, 7701159.0], [582265.0, 7701160.0], [582266.0, 7701161.0], [582267.0, 7701162.0], [582268.0, 7701163.0], [582268.0, 7701164.0], [582267.0, 7701165.0], [582266.0, 7701165.0], [582265.0, 7701166.0], [582264.0, 7701166.0], [582263.0, 7701167.0], [582262.0, 7701168.0], [582261.0, 7701169.0], [582260.0, 7701170.0], [582259.0, 7701171.0], [582258.0, 7701172.0]]",39.04163056034261,7.241597605892328,6.898353030775781,0.13821560540278124,0.10237380572351032,0.8858981194444125,0.8815734882198711,0.48,0.0
5,84,"[[582241.0, 7700902.0], [582242.0, 7700902.0], [582243.0, 7700902.0], [582244.0, 7700902.0], [582245.0, 7700902.0], [582246.0, 7700903.0], [582247.0, 7700904.0], [582247.0, 7700905.0], [582247.0, 7700906.0], [582247.0, 7700907.0], [582247.0, 7700908.0], [582248.0, 7700909.0], [582249.0, 7700910.0], [582249.0, 7700911.0], [582249.0, 7700912.0], [582249.0, 7700913.0], [582249.0, 7700914.0], [582250.0, 7700915.0], [582251.0, 7700916.0], [582252.0, 7700917.0], [582253.0, 7700917.0], [582254.0, 7700917.0], [582255.0, 7700917.0], [582256.0, 7700917.0], [582257.0, 7700918.0], [582258.0, 7700919.0], [582259.0, 7700919.0], [582260.0, 7700920.0], [582261.0, 7700921.0]]",32.55634918610404,6.749495183712468,6.7851790343076335,0.18469572219752195,0.15554143790277986,0.9091712999815655,0.9056908754871128,0.62,0.0
84,106,"[[582261.0, 7700921.0], [582260.0, 7700922.0], [582260.0, 7700923.0], [582260.0, 7700924.0], [582260.0, 7700925.0], [582260.0, 7700926.0], [582260.0, 7700927.0], [582260.0, 7700928.0], [582260.0, 7700929.0], [582259.0, 7700930.0], [582259.0, 7700931.0], [582259.0, 7700932.0], [582259.0, 7700933.0], [582259.0, 7700934.0], [582259.0, 7700935.0], [582259.0, 7700936.0], [582259.0, 7700937.0], [582258.0, 7700938.0], [582257.0, 7700939.0], [582257.0, 7700940.0], [582257.0, 7700941.0], [582257.0, 7700942.0], [582257.0, 7700943.0], [582257.0, 7700944.0], [582257.0, 7700945.0], [582257.0, 7700946.0], [582258.0, 7700947.0], [582258.0, 7700948.0], [582258.0, 7700949.0], [582258.0, 7700950.0], [582258.0, 7700951.0], [582258.0, 7700952.0], [582258.0, 7700953.0], [582258.0, 7700954.0], [582258.0, 7700955.0], [582259.0, 7700956.0], [582260.0, 7700956.0], [582261.0, 7700956.0], [582262.0, 7700956.0], [582263.0, 7700956.0], [582264.0, 7700956.0], [582265.0, 7700957.0], [582266.0, 7700956.0], [582267.0, 7700955.0], [582268.0, 7700955.0], [582269.0, 7700955.0], [582270.0, 7700955.0], [582271.0, 7700954.0], [582272.0, 7700954.0], [582273.0, 7700954.0]]",53.14213562373095,5.4711852843220905,5.347073505112964,0.14364826138348508,0.14270257750474344,0.8717895152783605,0.8784412421383135,0.52,0.0
6,103,"[[582241.0, 7700863.0], [582242.0, 7700863.0], [582243.0, 7700864.0], [582244.0, 7700865.0], [582245.0, 7700866.0], [582246.0, 7700867.0], [582247.0, 7700868.0], [582248.0, 7700869.0], [582249.0, 7700870.0], [582250.0, 7700870.0], [582251.0, 7700870.0], [582252.0, 7700871.0], [582252.0, 7700872.0], [582253.0, 7700873.0], [582254.0, 7700873.0], [582255.0, 7700874.0], [582255.0, 7700875.0], [582255.0, 7700876.0], [582255.0, 7700877.0], [582255.0, 7700878.0], [582255.0, 7700879.0], [582255.0, 7700880.0], [582254.0, 7700881.0], [582254.0, 7700882.0], [582254.0, 7700883.0], [582255.0, 7700884.0], [582255.0, 7700885.0], [582256.0, 7700886.0], [582256.0, 7700887.0], [582256.0, 7700888.0], [582256.0, 7700889.0], [582257.0, 7700890.0], [582258.0, 7700891.0], [582258.0, 7700892.0], [582259.0, 7700893.0], [582259.0, 7700894.0], [582260.0, 7700895.0], [582260.0, 7700896.0], [582260.0, 7700897.0], [582261.0, 7700898.0], [582261.0, 7700899.0], [582262.0, 7700900.0], [582263.0, 7700900.0], [582264.0, 7700901.0], [582265.0, 7700902.0], [582265.0, 7700903.0], [582266.0, 7700904.0], [582267.0, 7700905.0], [582268.0, 7700905.0], [582269.0, 7700905.0], [582270.0, 7700906.0], [582271.0, 7700907.0], [582272.0, 7700908.0], [582272.0, 7700909.0], [582271.0, 7700910.0], [582271.0, 7700911.0], [582270.0, 7700912.0], [582271.0, 7700913.0], [582271.0, 7700914.0], [582270.0, 7700915.0]]",71.42640687119285,6.9217165992517256,6.9026509571447505,0.13476192854645472,0.12802854162063698,0.8837646195701458,0.8702059941253439,0.49,0.0
103,84,"[[582261.0, 7700921.0], [582262.0, 7700921.0], [582263.0, 7700920.0], [582264.0, 7700919.0], [582265.0, 7700918.0], [582266.0, 7700918.0], [582267.0, 7700918.0], [582268.0, 7700917.0], [582269.0, 7700916.0], [582270.0, 7700915.0]]",11.485281374238571,9.972591257484284,9.002953037197862,0.22583044661234758,0.1927416690115388,0.9180277076898357,0.914414150848699,0.62,0.0
